ID     dec  year mo dy hr name       allLat     allLon     midLat     midLon     firstLat   firstLon   lastLat    lastLon
189805 1890 1898  9 12  6 NOT NAMED   22.214054 -87.679961  22.214054 -87.679961  13.350172 -79.549597  36.901021 -90.714615
189806 1890 1898  9 20 12 NOT NAMED   21.596107 -88.746891  21.596107 -88.746891  12.551242 -80.921466  29.700089 -94.601321
189807 1890 1898  9 25  0 NOT NAMED   30.033496 -72.689947  29.550826 -78.546321  16.900762 -58.998322  47.277074 -62.425258
189901 1890 1899  6 26 12 NOT NAMED   28.687662 -94.539893  28.687662 -94.539893  28.076628 -93.896992  29.202083 -95.169258
189902 1890 1899  7 28 12 NOT NAMED   25.848071 -80.400247  28.102193 -83.779639  18.857243 -71.612130  31.300894 -85.821438
189903 1890 1899  8  3  0 NOT NAMED   32.098467 -56.248439  16.527433 -61.123239  11.930447 -33.273733  43.686994 -20.738765
189906 1890 1899 10  2  6 NOT NAMED   32.198616 -79.102563  24.139247 -86.388907  20.850774 -84.847723  50.776912 -55.894145
189909 1890 1899 10 26  0 NOT NAMED   34.230496 -70.838199  27.500409 -78.641735  16.800030 -78.949737  54.770772 -22.796437
190001 1900 1900  8 27  0 NOT NAMED   29.773505 -70.798211  27.070255 -88.951314  15.228877 -43.949101  57.573868 -31.317549
190004 1900 1900  9 11  0 NOT NAMED   28.288217 -87.457730  22.877169 -87.408963  21.377508 -86.443507  33.454925 -84.955585
190006 1900 1900 10 10  6 NOT NAMED   34.570108 -80.143235  25.318137 -89.050316  22.825580 -90.829633  48.378815 -67.465636
190101 1900 1901  6 11  0 NOT NAMED   28.087502 -85.031164  21.940129 -83.975482  20.351016 -83.172007  36.582052 -87.702300
190102 1900 1901  7  1 12 NOT NAMED   19.676278 -76.743890  17.642548 -73.749799   9.877398 -55.647335  28.434479 -95.682507
190103 1900 1901  7  4  0 NOT NAMED   25.272206 -69.736754  33.055191 -75.113701  10.625507 -56.148400  34.377490 -79.147178
190104 1900 1901  8  2  0 NOT NAMED   29.563790 -73.083910  27.521686 -85.885138  32.129023 -39.654080  38.756379 -87.187740
190108 1900 1901  9  9  6 NOT NAMED   23.646900 -73.221082  20.447924 -81.320117  17.505211 -52.625530  38.054350 -71.038930
190110 1900 1901  9 21  0 NOT NAMED   29.229973 -76.832948  21.062795 -83.872461  13.927399 -74.474113  52.267466 -36.654843
190201 1900 1902  6 12 12 NOT NAMED   31.591893 -80.110315  23.938166 -83.433787  19.925314 -83.503561  45.984418 -67.564959
190202 1900 1902  6 21  0 NOT NAMED   25.801376 -93.931301  25.225460 -96.732120  17.750234 -92.524352  40.910389 -83.698999
190204 1900 1902 10  3  0 NOT NAMED   24.957328 -88.582705  19.965144 -92.629038  14.750079 -94.074513  41.493220 -62.763591
190303 1900 1903  9  9  6 NOT NAMED   28.333590 -81.142245  28.918508 -84.298386  22.002159 -73.622364  33.827269 -83.326060
190304 1900 1903  9 12  0 NOT NAMED   32.555740 -68.270712  34.083713 -73.136579  23.854251 -56.990353  42.701616 -76.438089
190402 1900 1904  9  8  0 NOT NAMED   27.129014 -68.587279  38.587916 -74.583092  17.078237 -55.395581  40.987451 -72.003033
190404 1900 1904 10 12  6 NOT NAMED   22.653059 -79.825582  24.363243 -80.320493  15.476260 -76.724244  26.754863 -77.530106
190406 1900 1904 10 31 12 NOT NAMED   31.153627 -81.570547  22.738186 -91.617469  20.750322 -91.823737  43.527066 -58.826615
190503 1900 1905  9 24  6 NOT NAMED   25.273106 -90.176166  22.006754 -89.809360  18.376468 -85.022914  33.403764 -91.863024
190505 1900 1905 10  5  6 NOT NAMED   28.204005 -89.785260  25.612661 -92.486887  23.025948 -89.674866  36.975824 -81.135254
190601 1900 1906  6  8 12 NOT NAMED   28.229454 -85.337808  22.975183 -84.022899  20.850043 -83.749220  39.002803 -89.002969
190602 1900 1906  6 14  6 NOT NAMED   31.010299 -71.300669  32.898496 -72.961182  23.027865 -77.774448  36.913254 -55.606833
190605 1900 1906  9  3 12 NOT NAMED   22.014099 -54.908787  26.186153 -64.227865  10.300741 -33.949849  34.587436 -82.184284
190606 1900 1906  9 19 12 NOT NAMED   23.414394 -84.604468  24.526183 -86.404469  12.150416 -77.674799  37.879686 -88.896350
190608 1900 1906 10  8  6 NOT NAMED   20.310500 -83.763765  12.094004 -82.532746  11.301974 -77.824996  22.728360 -85.232071
